address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,choice.16,choice.17,choice.18,choice.19,choice.20,choice.21,choice.22,choice.23,choice.24,choice.25,voting_power,timestamp,author_ipfs_hash,reason
0xafA3E6E29D99337b166b83fB24bA17b19764B49D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200,1710780079,bafkreidmctnxhewn3g2mlkjhvg3ybrt4e4eibexoddc3gdvwbcmscoodka,""
0x3df13B9bd79158f0cccDDd0833cF774178e3d2e9,,,,,,,1,,,,,1,,1,,,,,2,,,,3,,1,202.36008238176817,1710781294,bafkreiazgv4nzrn67klha26mkfs7ksqakz3sqq2an64imqkesbr6r737fy,""
0x1e90474D2E83e7B7dD45553156Beb316845E66A4,,,1,,,,,,,,,,,2,,,,,,,,,3,,,1000,1710782450,bafkreie4xxoopvktj3iabzh27gcaylcj6jnmnlk6ttkfaftazz7wr5gmea,""
0x884Ff907D5fB8BAe239B64AA8aD18bA3f8196038,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1000,1710782678,bafkreidy25eb6qgjcvrw722zeovabadwm3iujtinu4xvwbhzeq6ub4me4q,""
0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,,,,,,,,,,,,,,,,1,,,,,,,,,,646.4377890238414,1710782819,bafkreifr23gqn2raiyqvfp6gz6eyia7mjgu4id5gohhhgw44my4mg6o26a,""
0xCA72c93172BA6EfF168E59e7F17C3C7A8FeA9B62,,,,,1,1,,1,,1,,,,1,,,,,,,1,,,,,1000,1710782975,bafkreifqpct5wfmegyfidhdbgcvl2dqw7ufv47fk5qaqt52cvlzjyweycq,""
0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1,,1,,,,,1,1,,1,,,1,,,,,,1,,,1,1,,500.81142206,1710783426,bafkreiarlrjo4n3jututvq4svtoc6du2buwvb26glecv5iglatd4hxtlt4,""
0x1bb216120E8F939f520C610Bdc3C88aDAc4b06f7,,,,,,,,,,,,,,1,,,,,,,,,,,,37.106014081422586,1710783933,bafkreia2iso63liixssx4bhaoytnfplgaqamjoc4ii7ittl3wjeytchxkm,""
0xb3313b023e68CdA95d7B625200e1B0fE6335A0c2,,,2,,,,,,1,,2,,,2,,,,,,,,,2,,,1000,1710783951,bafkreif2dkd2cugbiafufrymdwcqj6v42u2zljlgi5k3ocad77d23m2oqi,""
0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,,,,,,,,,,,,,,,,,,,,,,,100,,,1000,1710785054,bafkreih52wm5npdpwxpvkhbqpsvb442gtes7wixcdfcjte3q64ib4xk2dq,""
0xE36BD8C15a83b89E2E49806d7312846069755C63,,,,,,,,,,,,,,,,,,,,,,,1,,,1000,1710785248,bafkreig65cnn4fizqv5s25y3wawl5iziu6kjmlkhi34c2p4rn4jewpeyxi,""
0x43930Ff04D18a5B59805151c1Eb403C55870641E,,,,,,,,,,,,,,,,,,,,,,,1,,,1134.9218178162419,1710785343,bafkreiar3j62pdmtyzyjvrc3yplqj22w2l7lemndnlc5cbvb5m7ji43uba,""
0xAFE2b51592b89095A4cFb18da2B5914b528f4c01,,,,,,,2,,1,1,1,,,,,,,,,,1,,,,1,1000,1710787057,bafkreiafjqvstn4dckica24b6z5qusaoxkq6yuxrpipezmj563mjxtloye,""
0x4dD6720D2Bb8721A46bdF9a528704164578E03B9,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1000,1710787754,bafkreig72jgkljvydo3bg52omymh3dxyrqcb4qrqx2p6ryba6swnzcxsmm,""
0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0,,,,,,,15,,30,,20,,,,,,,,,20,,,20,,20,1000,1710788149,bafkreiddzn46iijljk6d42sihcmjlvxbvwzft25hyr2khe67ta5l4rcuwa,""
0x653d973b36137A5cB2fc304996E0af1F1afCC628,,,,,,,,,,,,,,1,,,,,,2,,,1,,,3144.788106422823,1710793849,bafkreibwarvvlal3apzrmgbupbki33xdf2bmoknrwes5r5gktlwg47whia,""
0x1d921dff757610FbDB0073479e12c0a07d382677,,,1,,,,,,,,,,,,,,,,,,,,,,,1200,1710796526,bafkreid5nrthbnsh5rks2pg3dxoula5lswejqca63w4kbngqwo2h7gqgpy,""
0xAC0Daf3eeF18A76B4fd0865864186EB72b683e29,,,,,,,,1,,,,,,,,,,,,,,1,,,,500,1710797074,bafkreih6kwao4r5t3nnyk5sy3wuoizfmhsht5j3l6t5t2cc7ellutrxciu,""
0xbe9E7b0ed19526544B55b697107231f9467a805f,,,,,,,,,,,,,,,,,,,,1,,,,,,100,1710800994,bafkreiemosp7spxg42fzp3invv5buml3gvguetebkclzgkalid3h2ram5y,""
0x8A8C879D39A74fCE0593714956bB7Ed048A5c1BF,,,,,,,,,,,,,,,,,,,,,,,1,,1,1062.8425350078523,1710803706,bafkreicew2xvesptcqh7wnrwho3yuftyy3oot4cdg6ib5txw2l2zttpmm4,""
0x88f1706c20d94A4d1551C5F799C9E3380A24C3AC,1,1,1,1,,1,,1,,,,,,1,1,,1,,,1,,,1,,1,1000,1710805745,bafkreiflzhip43hrvoszqsdmemqhmuweoo7k3pxntzsjufowiguexeef6a,""
0x954F716e6de059360d278B773138f8e046696721,,1,,,,,,,,,,,,,,,,,,1,,,,,,1000,1710807218,bafkreic7omboue7jviexdirom5wkgzsktweznghqy3c3pu5uyadzeqw7uy,""
0x583bBaDA56bb535BCBb31877A620A6ff2A25CeA5,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1000,1710807844,bafkreif3vvfymt5fqaalmzk3m5klj7zcplzougfwxubojglvnig2bcsuny,""
0xE77ad9c5af60332D24E5531B51A6B7f61D0B8703,,,,,,,,,1,,1,,,,,,,,,,,,,,,1000,1710815637,bafkreigkuyrvlykjkp2iiax6j6xmbcr3qfyagm3735zxnwy5kxrghgdvmm,""
0x50418699cB44BfDa9c9afc9B7a0b0d244d8927D2,,,,,,,,,,,,,,,,,,,,1,1,,,,,500,1710822451,bafkreiackchmscds4lx6tykctolg4g2obvhdiqi2noxwu3xxlxbkxo6nre,"Those 2 did and do Impact ❤️"
0xa8258ED271BB9be9d7E16c5818E45eF6F2577d92,,,,,,,,,,,,,,,,,,,,1,1,,,,,500,1710822647,bafkreiakdrahvrucjaqthontog3zu75ipqtythq24ywh24zoqffxoqma4u,""
0x9e602c1920443F01Cb100a57A7F894df8Eb42f66,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,1,1000,1710826236,bafkreiapvs5bmh7jvvod33trlfv7s5rx6eky5xmzmmyonsv3l4uuqz7u7e,""
0x3B981fA5dD50237dAb6F96A417A6690B6f20FcC4,,1,1,,,,,1,1,,1,,,1,,,1,,,,,,,,,1000,1710826418,bafkreidmz43cwuovkamfe2t6b4jwr6k5d5fmwynnolz7irob67whsnqdnu,""
0xBEa26DE685Ef828b60cA53b40Ecc9Bab35645fDF,,,,,,20,,20,,,,,,20,,,,,,,20,20,,,,182.11389320129555,1710835925,bafkreictxctsolg6ilb75xpd5a2e4na7rhrghdm5kjsbuvhtmbhnppd2i4,""
0x3FFD0C300fa4a021364Ae7e85a7b0d3a02133f99,,,,,,20,,20,,,,,,20,,,,,,,20,20,,,,104.01828968389601,1710836012,bafkreicqwk74pfnrsxg2t6yw5mft2ptll5acyxqz3i2hvxkhtycpr6azni,""
0x03bB5bC3c8fdAB212A6b2B347a049133DfCB3A47,,,,,,20,,20,,,,,,20,,,,,,,20,20,,,,5000,1710836140,bafkreidaj7xkdust53gqafmkjyexrhprr3o7wu4zvz43a7m2bjwtjcgdgm,""
0xCE8D52c38d74B77a0aA361c48Fdce6b220A3370e,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,1000,1710837746,bafkreifvs2xhyrngroco3werktalo5u57lkl4mpayzi6gxxy4mghzdwdzu,""
0x4D32D90D6535bD4e7eaBaa27EE72932cB214BbfA,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,5000,1710839098,bafkreibyogjvazqwmzitd2jybkbq7mn424rt3cjatfbnk6xmya2hx4dwei,""
0x746bb7beFD31D9052BB8EbA7D5dD74C9aCf54C6d,,,,,,,,1,1,,1,,,1,,,,1,,,,1,,,,795.1425180844036,1710839929,bafkreicryu2jxmdgur4tpoon5ixd2c4beq2uamurij4aeuf5gxjyrhx66i,""
0x0D89421D6eec0A4385F95f410732186A2Ab45077,,,,,,,,,,,,,,,,,,1,,,,,,,,1000,1710842899,bafkreib6fnqw66tmwae2jicm5mur56uqwlmrqab46ezbfxtgtqw4gm4ofe,""
0xd37ED782323A82e5BD55A92500E48FF5eFcc415E,,,,,,,,,1,,,,,1,,,,,,1,,,1,,,451.45646194602773,1710843538,bafkreibywvbij5hzldecbg67limknrtpmi2wgg256jidobt7yfk4dvhm2a,""
0x616caD18642F45d3fa5FCaaD0a2d81764A9cBa84,,1,,,,1,,1,,,,1,,2,,,1,2,,,2,,11,,,1000,1710848026,bafkreibrdzcw5s22o6x6mwikyuoom43la6mnjbv426mixm67e4hlaxopse,""
0xe8aa836a597a66724D678860D105561c13E95bFa,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,3778.66,1710851499,bafkreigp26fbfxyi7h7wigiay45y76ryduqasov5ctadappbp5nj5wg42u,""
0xA8F0048A0d1A04663Ca5010d0bEaC5BCAEeA0eef,1,,,,,1,,1,1,1,1,,,1,,,,,3,,,,,,1,1000,1710857438,bafkreieeqs5f5bdfuwy2jgwqauylvj6kgsqfrrrsmyuswgxrcovrw7q6ee,""
0xA4369e39e3ED13593Adb0142A1ea5d08AbdF99C4,,,,,,1,,,,1,1,,1,1,,,,,3,,,,,,,1000,1710857523,bafkreicobhzumrsbmggsfz77mbdu2daijhqztjxeyo335ek6rf3rxa5e34,""
0x508A4F07B60BA0940283Cd4e32d5DEb0CC38AdF7,,,,,1,,,,1,,1,,,,,,,,,,,,,,,102.00148329408651,1710858633,bafkreibduuskkzikufjfak6x362wkqptgcvc3jlb3hwy2qowa5nsowirxy,""
0x432C53218A11bEd08d238Cf84ff547CE4fe933ab,1,,,,,,,,,,1,,,,,,,,,,,,,,,1000,1710859878,bafkreiczwdvvluv4pxae4ix2miy7oms5wievuwmfylw5a5yqif4y64ctcy,""
0xCd0D4CDb238Eec15Fcf4ff9d13d5a59051E507D7,,1,,1,,,,,1,,1,,,2,,,2,,,,,,3,,,17000,1710859892,bafkreievamdjudmbqvmwqw3422k2bfgoo5fj4rgogsxb5hzuwa5hsx4wlq,""
0x85c7D244c6057D42C770aD85aE198Fc5F47957fC,1,1,2,2,,1,1,1,2,1,1,1,1,,,,,1,1,,,,2,,1,4277.355401178872,1710859993,bafkreiclo72265jc5sr2i2pyjvspmbz5lcgyhhb6c6c4g57zna5ax6ho5a,""
0x76B4b27B47f211448964eD2cf92F731412602700,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1039.086401508954,1710860078,bafkreih4c26hwd5zc5mblravzzdbn4szsagbiyrjh6lequdwsoklpvrn4q,""
0x8341c4106523b49fc247f84e412Bb2AF5597038f,1,1,1,1,,,,1,1,,2,,2,,,,,,,2,,,2,,,1062.8121428688498,1710860137,bafkreigb3zmwd64jof6vry44sqfeecdg4zjrnzkyu46puqdgfflcbyn56y,""
0x87704a8CecbbF36f3D2f785Ef953eD9aFFc82b65,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1001,1710860243,bafkreiaxcucidksujzrhvvnareiql7krstbzjgxgfseaatct4nvpongmxe,""
0xAB4e4F9C9C394D72dbAE834075fd4519D7290456,,1,1,2,1,1,,,,1,1,,,,,,,,,,,1,2,1,1,2391.361975245823,1710860303,bafkreie2duwu4j2irakfjbvrncexkdvz2x5wz4drxpcwx3mskve24ypid4,""
0x512B436cB2Ed6016e80d4F89ca578F99DBBccb61,,1,1,2,1,1,3,1,2,1,2,,,,,,,1,1,1,1,,2,,,2400.8664949768445,1710860372,bafkreidky5gwnmcj472fcw7c7apxnkgecxsh2tr65xeo7zmeydq6dlgx4q,""
0x341C2F0E48087ce4E21eF0c75Cd062629F496dF8,1,2,1,1,1,1,2,1,2,,2,1,2,,,1,1,1,1,1,1,1,2,1,1,2197.48546560382,1710860437,bafkreiejmf74sjv6tj7tqmljsznjglvr37qrjgywk7vcod76vlx667f7jm,""
0x4Ae6a8A28c87b75e935a90D6128F2649C969c0D8,1,1,1,2,1,2,1,1,2,1,3,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2243.075276840107,1710860492,bafkreicudirnhenwsqlrku7heeisrjc477wkhsf7ozx33st44ik7j6byla,""
0x50544864a4fE04FcA8401937B849b48e1E53BCD8,,,1,,,1,,,2,,1,,1,1,2,,,1,,,,,3,,,5408.815446706653,1710860556,bafkreib47nyho7etxep4aicdjyq6bhfe4kflmxgfizx7uzhrknqkpuoihy,""
0x4CC9E6fABb800F083a2685501d1A30CdAbb4B2De,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1332.4381099777015,1710860611,bafkreicdxcpyxxohsh43fhktixwwutievlomq7v3psizp2my4ccxtrhn4a,""
0x11FA934f6754076AEb7Cf0A72a1c2D2518aA4C77,1,1,2,1,,,,1,2,2,,,,,,,1,1,,,,,1,,,1123.1398542804443,1710860675,bafkreiaefuyf22htwmojbrzrnjeez3ujlp2wqqepn56qeuyrs5vtwqnusq,""
0xa7CA400d49BBa87EB606ee05af93689BD21FaB99,,,,,,,,,,,,,,,,,,,,1,1,,,,,111,1710860743,bafkreia33ayao5sd626iftylkd2lswufx7higp2kuxhiju4shmcncsojhq,""
0xfB94f39B150Ae661F85762154c0CadC65E083791,,,1,1,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1125.5437704757355,1710860756,bafkreib6gzzspd5hlipt7icnaadwp4me542luuepjxfzzcnuync4txmaqa,""
0xeBcF41FfFa0aac1DC1B1d4D7C92A7D88694c4486,,,,,,1,,,1,,2,,,3,,,,,,,,,1,,,1179.1184694335814,1710860943,bafkreifsfeacb6v26wwoouk6zsfp6ydrkam6warxn6plrginsxi6k362tu,""
0xC9c32A8c745bB66094B8B27A74Be48E84FD1a8F3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,914.6782398552236,1710861036,bafkreidm2t3rxxt4bduzb6s5qcshdqfic3hv4rx72e2yi5hjeui274u7hq,""
0xd46E61d448568D00483D4e82b822381EE62C5774,,2,,,1,1,,,1,1,2,,1,3,2,,1,1,1,2,1,1,1,,1,743.2046858408858,1710861092,bafkreigpehwolb4ayw5yyakfld3b2zye5zimsq55wfzfn4jrzlctwsrtmu,""
0xACC3D48B216EAFbE0F943167c3087E7f0C642D6e,1,1,1,1,2,1,1,1,3,1,3,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1703.1621623115386,1710861170,bafkreiftirpsokp7h3fwso7oda5ywsaccjjnjjnven5xrvun6j6tcepmdi,""
0x770569f85346B971114e11E4Bb5F7aC776673469,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1000,1710867658,bafkreiezbxmj4m625a2l4yxsl5w4vy2hnli4g2wfuj7kn5iolsfeptqr7y,""
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,,,,,,,,,1,,,,,,,,,,,,,,,,,1000,1710867695,bafkreiekvym5qa5c4ruj6qsbatdqnyejl5ozhx6ihnzy2jzvheexjszyei,""
0xDd31dB93082a3A71b98D37ba26230f8734Bd63C3,,,,,,,,1,1,,3,,,1,,,,,,2,,,,1,1,1000,1710868793,bafkreid7ieew7m274okwcmglxn3lr5zvzemk6lgb334hyw2hxun7ickxaq,""
0xCa144Bc972E07ac38c6d68542C291cfDCEF2b31e,,,,,,,,,1,,1,,,1,,,,,,,,,1,,,100,1710869539,bafkreia767o47vwa37lldy5cjxidcjyjz6nmmxwgm4tmswlvshudvx256u,""
0xA19947DA8B916f64Ac6F362cEC9001D8BCBeEe93,,,,,,,,,,,,,,,,,,,,1,,,,,,100,1710875611,bafkreide5odj264nlzjysj5zi3kj7wlcjyhc5drpyh6g27qqx4opq4r2ju,""
0x731A2e51ebfAeBacF8477E992CDEB1E8eacf519C,,,,,,,,,,,1,,,,,,,,,,,,1,,,1000,1710876900,bafkreigho5rd2o4hvezlv5nijfdnl2p3fiqcmqrqhytliwgal36ytawhbi,""
0x4831DdB6502ca45dbEEDf58B47292061Cdb6050B,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,100,1710882303,bafkreiftcg63pzumzbvvf2vetmah6ghhdk72za3jbkqadyblhx34i63kpa,""
0x752a1ec2358082D1e648e4FdaCcc41d321d9Ff6B,1,,,,,,,,,,,,,,,,,,,,,,,,,100,1710883501,bafkreiftqllxmwggxengsb5xwkfmpgecu46fwylgp72xxg5522ajlq7ovq,""
0x051010142A0B9de7F0Fd8fb31d085407287F6381,,,,,,1,,1,,,,,,,,,,,,,1,1,1,,,500,1710885178,bafkreift6qanin2povjzzwkrzjxu3qjv52ctdepabochnaefnvcooz3vgm,""
0xad7575AEFd4d64520c3269FD24eae1b0E13dbE7B,,,,,,1,,,1,,,,,1,,1,,,1,1,1,,1,,,167.11934866554492,1710885554,bafkreigbavefo6tsdrrnscwf3or5x322snhpftqynqftdpexshti3fim5m,""
0xF95D9549b3Ab9470d306a6413Aa45082e8B66043,,,,,,,,,,,,,,,,,,,,,,1,,,,500,1710886561,bafkreicgmbislisirbsd57dszqewuqjymcc5tgw6himn7qkded5jxvbkre,""
0xA906c85B7e809b79c5e69d485693B44d65B1B252,,,,,,,,,,,,,,,,,,,,2,,,,,,1000,1710887792,bafkreibe3sv2ay32ll657jsoz5xqyeve52rfbmi2qpbsis24y7s3oeb7zq,""
0xc4F91CDd498A30f8ed1dEa3883Cba314a7A2a022,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,1100,1710890067,bafkreiew3idnh7ddkf7tye6hp5qa5gwzhrtjbhrmesrxj33jddnvsp5uau,""
0x92b52e6441A9e2E03d080E951249d93dF222f855,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,10000,1710890687,bafkreia5t7bckoc3jztrvxbnxnud44drytycxvo3gggjsmiwp4jdvwx4yi,""
0xF3Ad97364bcCC3eA0582Ede58C363888f8C4ec85,,,,,,,,,,,,,,,,,,,,,1,,,,,1000,1710892029,bafkreibkceyvodiromgueoxu7hintvqcbsoqmjiwkdxklcfe5eledhilr4,""
0x0D2349e291A9e0Bb755bFFA4097E6D378A72330B,1,,,,,,,,1,,1,,,,,,,,,,,,,,,1000,1710894105,bafkreiex52odgw3nw5vpsrsqgme2z3ylqsikfklut6ykpqthogoe36t3xa,""
0x66805D8B82664Acab4CbE0C0498889dDE9aF7841,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,1007.0989340889162,1710894158,bafkreiaakf7zdw44wpozfi3ccaejbe3sxiulaogcurmi2ysdgb6tia5dny,""
0x41fD941BB20990B5BEc8CB424f19397254707981,,,,,,,,,,,1,,,,,1,,,,,,,,,,517.60815935,1710899655,bafkreihk2kgsifcwc7jsnwgvvqg3zhqoe3kqaxnwy534wzfn6uoum52b24,""
0xeeE844540644b204f0005c063Ae95F244BF06a84,,,,,,,,,,,,,,,,,,,,1,,,,,,1318.2182269,1710904718,bafkreief7q6jp4baevplvxalsnubbxtxauhsbzj2ufnxqoh4otej7xz54i,""
0x104AF6c440D274a4abCb353c0Ab85DC2f911e074,1,,,,,,,,,,,,,,,,,,,,,,,,,100,1710910789,bafkreidxu5njntbu2djw5wfrcvc2qccccgnfehgnwkf6nxb5vb4dfakcz4,""
0x43e65F8116174d1c38Eed3545d21fC37ea34B565,,,,,,,,,,,1,,,,,,,,,,,,,,1,100,1710910867,bafkreigxtfz3vmbzzsccigspzchzeqn6doukt526ly3bvvzhziccen5hpa,""
0x2df292AF809Fd693D94C7D17E36BE352e15Bb98a,,,5,5,,,,5,25,,5,,,25,,,,,,5,,,25,,,1000,1710911246,bafkreibguislm5ctxoemx5kblmljbpiilmurx2qzexkluo66ythnw4xkdm,""
